id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
22295849,Luxury condo with view on the BEST block of DT!,162963658,Max,,Downtown,49.27951,-123.12739,Entire home/apt,300,3,68,2020-03-04,1.84,1,69
22298691,Spacious Family Friendly 2 Bedroom,139891966,,,Fairview,49.25985,-123.12696,Entire home/apt,105,30,7,2020-10-02,0.18,29,263
22298696,Quaint & Cozy Ground Floor Unit Across VGH,139891966,,,Fairview,49.26045,-123.12819,Entire home/apt,82,30,9,2021-01-31,0.31,29,269
22307557,"Large 
house in funky central neighbourhood",79523658,Ann,,Riley Park,49.25337,-123.10795,Entire home/apt,350,3,0,,,1,87
22310305,4 Bedroom Clean & Quiet Home in Central Vancouver,87417832,Alex,,Hastings-Sunrise,49.29108,-123.04144,Entire home/apt,133,2,142,2021-03-21,3.56,2,16
22324957,SMALL COZY ROOM IN ECO FRIENDLY VEGETARIAN HOUSE,26230655,Willem,,Downtown Eastside,49.27735,-123.0925,Private room,48,7,15,2019-01-04,0.37,1,0
22326190,"Cozy 1 Bedroom+ Spacious Lvngroom, Close Transit",20246084,Sarah,,Renfrew-Collingwood,49.25459,-123.04589,Entire home/apt,72,3,151,2021-03-22,3.78,1,116
22346943,Modern Vancouver Hot Spot! Located near EVERYTHING,163401554,Joey,,Downtown,49.27853,-123.10677,Entire home/apt,99,2,193,2021-03-07,4.89,1,243
22377264,Heart of Downtown Vancouver: 1-bedroom suite + den,163629441,Harveen,,Downtown,49.281,-123.12565,Entire home/apt,53,31,14,2021-03-01,0.39,1,50
22389548,Fresh 1 Bedroom + Den Across VGH,139891966,,,Fairview,49.26163,-123.12813,Entire home/apt,95,30,8,2021-03-01,0.21,29,232
22391348,Arohanui. Serenity in the heart of the city.,162946389,Adrian,,Kensington-Cedar Cottage,49.25501,-123.0714,Entire home/apt,95,2,11,2020-11-09,0.33,1,0
22422543,Heated Floor❤️Free Parking+Backyard+Craft Brewery,18165744,Simba,,Downtown Eastside,49.27823,-123.08676,Entire home/apt,89,2,292,2021-04-08,7.28,1,24
22424497,3 Bdrm House Share With 1 Other $800/M inc. util.,90713576,Samuel,,Hastings-Sunrise,49.2694,-123.03996,Private room,80,30,1,2018-02-28,0.03,1,0
22434983,Vancouver Studio Apartment with a spectacular view,164329859,Samia,,West End,49.28815,-123.13616,Entire home/apt,175,5,20,2018-08-29,0.52,3,0
22450798,New- Best View in the City - Fully Equipped 3 BD,3780997,Kristin,,Fairview,49.26553,-123.12651,Entire home/apt,350,2,2,2019-06-02,0.09,1,0
22455221,Multi Million Dollar Home Close to Beach/Downtown/University,111469368,Marci,,West Point Grey,49.26594,-123.19387,Entire home/apt,975,6,6,2019-07-21,0.18,2,15
22469027,171  -1 bedroom in heart of West End.,600607,Bruce,,West End,49.27974,-123.13576,Entire home/apt,71,30,4,2020-12-08,0.12,46,47
22505866,House On Dunbar B&B,2558633,Joanne,,Dunbar Southlands,49.25537,-123.19077,Hotel room,108,1,1,2018-07-07,0.03,4,0
22518784,Charming kid friendly garden level suite Kitsilano,36720655,Markus And Annu,,Dunbar Southlands,49.25489,-123.18217,Entire home/apt,78,1,43,2021-04-04,1.22,3,118
22533603,Best Location In The Heart Of Downtown Vancouver!,3092935,Brad,,Downtown,49.28224,-123.12421,Entire home/apt,99,30,9,2021-03-27,0.32,12,287
22552342,1 Br- Granville Island/VGH/Olympic Village area,9653232,Zak,,Fairview,49.26653,-123.12441,Entire home/apt,149,3,111,2020-06-17,2.81,1,0
22569894,In the ❤️of Yaletown .,88510289,Mary,,Downtown,49.27911,-123.11714,Entire home/apt,199,3,0,,,1,0
22573163,2 Br 2 Bath Clean&Quiet Home in Central Vancouver,87417832,Alex,,Hastings-Sunrise,49.29075,-123.04071,Entire home/apt,113,2,21,2020-09-07,0.53,2,0
22587726,Comfy Hawiian Vibing One Bedroom Apartment,37629287,Courtney,,Mount Pleasant,49.26578,-123.09339,Entire home/apt,100,2,47,2019-10-20,1.19,1,0
22618949,"Jewel of Trout Lake - quiet, close, community",161189427,Jonathan,,Kensington-Cedar Cottage,49.25133,-123.06182,Entire home/apt,320,10,7,2020-08-04,0.21,1,64
22631875,静中带旺家庭旅馆,166495187,Sushi,,Kensington-Cedar Cottage,49.23591,-123.07813,Entire home/apt,80,2,36,2019-01-02,0.94,1,0
22645926,Fantastic Stay in Yaletown!,21859234,Kate,,Downtown,49.27913,-123.1187,Entire home/apt,79,30,8,2020-12-31,0.21,1,135
22655504,VANCOUVER HOME - # 2 Commercial Area,42068304,Adrian And Mary,,Kensington-Cedar Cottage,49.25826,-123.07133,Private room,40,30,13,2021-04-08,0.35,2,231
22659767,Comfortable & Central Across VGH,139891966,,,Fairview,49.26182,-123.12821,Entire home/apt,85,30,11,2020-09-19,0.32,29,263
22659967,Stay Quaint & Stylish In Vancouver!,139891966,,,Fairview,49.26146,-123.12623,Entire home/apt,85,30,9,2021-01-26,0.24,29,263
22696589,Contemporary King Bed w/En Suite On The Park,2021485,Geoffrey,,Downtown Eastside,49.27759,-123.08576,Private room,75,3,98,2020-07-27,2.58,3,240
22698900,Cozy and peaceful Point Grey suite on UBC doorstep,167367691,Graham And Caron,,West Point Grey,49.26226,-123.20874,Entire home/apt,99,3,80,2021-04-08,2.05,1,311
22700703,New Renovated 2 Bedroom in Central of Vancouver,79337,Saligooli,,Riley Park,49.24757,-123.10317,Entire home/apt,85,365,0,,,1,0
22702051,2 bedrooms Awesome Prime  CORE Vancouver Downtown,11207116,Moe,,West End,49.28427,-123.12747,Entire home/apt,85,30,0,,,5,72
22702511,Vancouver Downtown In the heart of the  City! 1BDR,11207116,Moe,,Downtown,49.27774,-123.12774,Entire home/apt,80,30,0,,,5,61
22702574,Family-friendly Mount Pleasant heritage home,7960711,Darcy,,Mount Pleasant,49.26175,-123.08837,Entire home/apt,198,2,10,2019-09-29,0.27,1,0
22713698,Hastings Sunrise Heritage House,1530291,Erin,,Hastings-Sunrise,49.2839,-123.04736,Entire home/apt,180,3,5,2018-08-26,0.15,1,0
22717699,Two Beds A Double and Twin,167605756,Chona,,Killarney,49.22791,-123.03074,Private room,37,1,58,2020-10-01,2.19,3,71
22717742,Cozy Private Room with Queen & Single bed,167605756,Chona,,Killarney,49.22802,-123.03224,Private room,45,1,67,2020-02-10,1.72,3,71
22718778,Bright and Clean 2 bedroom Garden Suite,21833993,Francesco,,Kensington-Cedar Cottage,49.2531,-123.08731,Entire home/apt,94,4,74,2021-01-25,1.93,1,227
22729409,Room with en suite & private entrance near VGH,167761489,Diana,,Fairview,49.26172,-123.13058,Private room,82,2,107,2021-03-25,2.75,1,89
22734628,Cozy Bedroom with Queen Bed,167605756,Chona,,Killarney,49.22818,-123.03276,Private room,25,1,118,2021-03-11,2.99,3,72
22735501,LUXURY BDRM; OLYMPIC VLG / DOWNTOWN; NEAR TRAINS,33331559,Jayden,,Mount Pleasant,49.27265,-123.10265,Private room,99,2,113,2020-03-12,2.95,1,0
22754630,[Vaccinated Host] New Condo with Air Conditioner,2447132,Young,,Mount Pleasant,49.26216,-123.09894,Entire home/apt,88,30,109,2021-03-12,2.82,1,232
22765822,2 bedroom suite for rent,168153443,Victoria,,Hastings-Sunrise,49.28086,-123.02707,Entire home/apt,120,2,27,2019-08-20,0.73,1,337
22771645,Guest House / Laneway house for rent,168208848,Armen,,Hastings-Sunrise,49.2786,-123.02855,Entire home/apt,150,2,22,2019-09-15,0.60,1,351
22813058,"Family vacation home
Licensed home",136821477,Changhuan,,Downtown Eastside,49.27748,-123.09149,Entire home/apt,250,3,84,2020-01-03,2.18,1,0
22817433,Ocean View  free parking Downtown YVR,168648735,Linda,,Downtown,49.27189,-123.12569,Entire home/apt,399,3,45,2018-12-11,1.15,1,0
22850980,Private studio in the Heart of Vancouver,3423113,Jade & Brandy,,Kensington-Cedar Cottage,49.24684,-123.08154,Entire home/apt,69,3,92,2021-03-28,2.38,1,48
22851367,Peaceful Chinatown Condo,18695187,Amanda,,Downtown Eastside,49.27714,-123.09881,Entire home/apt,164,10,12,2019-08-18,0.32,1,0
22869370,Visit Main Street Restaurants from a Private Garden Suite,1636300,Martin,,Riley Park,49.25566,-123.09335,Entire home/apt,130,2,185,2021-02-21,5.04,1,41
