listing_id,date
10080,2011-11-15
10080,2011-12-14
10080,2012-03-12
10080,2012-06-05
10080,2013-01-15
10080,2013-01-22
10080,2013-04-16
10080,2013-05-15
10080,2013-10-15
10080,2015-02-01
10080,2015-04-05
10080,2015-04-29
10080,2015-09-06
10080,2016-09-19
10080,2016-10-22
10080,2017-02-26
13358,2010-06-22
13358,2010-07-03
13358,2010-07-06
13358,2010-07-18
13358,2010-08-22
13358,2010-09-11
13358,2010-09-14
13358,2010-09-20
13358,2010-10-03
13358,2010-10-12
13358,2010-10-26
13358,2010-11-05
13358,2010-11-28
13358,2010-12-07
13358,2010-12-16
13358,2010-12-23
13358,2011-01-05
13358,2011-01-18
13358,2011-01-25
13358,2011-04-13
13358,2011-05-16
13358,2011-05-31
13358,2011-06-27
13358,2011-07-03
13358,2011-07-06
13358,2011-07-10
13358,2011-07-27
13358,2011-09-05
13358,2011-09-17
13358,2011-10-16
13358,2011-10-22
13358,2011-10-25
13358,2011-11-11
13358,2011-11-16
13358,2012-01-10
13358,2012-02-18
13358,2012-04-17
13358,2012-05-26
13358,2012-06-20
13358,2012-07-10
13358,2012-09-09
13358,2012-09-17
13358,2012-10-08
13358,2012-10-10
13358,2012-10-23
13358,2012-11-11
13358,2012-11-19
13358,2012-11-27
13358,2012-12-03
13358,2012-12-11
13358,2013-01-07
13358,2013-01-15
13358,2013-01-17
13358,2013-02-01
13358,2013-02-14
13358,2013-02-18
13358,2013-02-20
13358,2013-02-26
13358,2013-03-02
13358,2013-03-18
13358,2013-03-30
13358,2013-04-24
13358,2013-04-28
13358,2013-05-04
13358,2013-05-05
13358,2013-05-07
13358,2013-05-26
13358,2013-05-30
13358,2013-05-31
13358,2013-06-04
13358,2013-06-08
13358,2013-06-18
13358,2013-06-20
13358,2013-07-08
13358,2013-07-19
13358,2013-07-22
13358,2013-07-27
13358,2013-07-29
13358,2013-07-30
13358,2013-08-03
13358,2013-08-04
13358,2013-08-12
13358,2013-08-21
13358,2013-08-27
13358,2013-09-02
13358,2013-09-06
13358,2013-09-21
13358,2013-09-30
13358,2013-10-02
13358,2013-10-11
13358,2013-10-15
13358,2013-10-21
13358,2013-10-24
13358,2013-10-27
13358,2013-11-05
13358,2013-12-02
13358,2014-02-25
13358,2014-03-07
13358,2014-04-11
13358,2014-05-04
13358,2014-05-07
13358,2014-05-19
13358,2014-06-01
13358,2014-06-04
13358,2014-06-15
13358,2014-06-27
13358,2014-06-29
13358,2014-07-02
13358,2014-07-04
13358,2014-07-13
13358,2014-07-18
13358,2014-07-25
13358,2014-07-30
13358,2014-08-02
13358,2014-08-05
13358,2014-08-09
13358,2014-08-23
13358,2014-08-25
13358,2014-08-29
13358,2014-09-03
13358,2014-09-06
13358,2014-09-11
13358,2014-09-15
13358,2014-09-18
13358,2014-09-25
13358,2014-09-28
13358,2014-09-29
13358,2014-10-01
13358,2014-10-04
13358,2014-10-06
13358,2014-10-10
13358,2014-10-14
13358,2014-10-23
13358,2014-10-27
13358,2014-10-31
13358,2014-11-02
13358,2014-11-28
13358,2014-11-30
13358,2015-01-04
13358,2015-01-07
13358,2015-01-11
13358,2015-01-19
13358,2015-02-04
13358,2015-03-02
13358,2015-03-11
13358,2015-03-15
13358,2015-03-19
13358,2015-03-29
13358,2015-03-31
13358,2015-04-04
13358,2015-04-06
13358,2015-04-09
13358,2015-04-23
13358,2015-05-03
13358,2015-05-05
13358,2015-05-20
13358,2015-05-25
13358,2015-06-12
13358,2015-06-18
13358,2015-06-25
13358,2015-06-29
13358,2015-07-05
13358,2015-07-10
13358,2015-07-13
13358,2015-07-16
13358,2015-07-17
13358,2015-08-14
13358,2015-08-20
13358,2015-08-22
13358,2015-08-25
13358,2015-09-06
13358,2015-09-08
13358,2015-09-11
13358,2015-09-13
13358,2015-09-18
13358,2015-09-24
13358,2015-09-28
13358,2015-10-01
13358,2015-10-04
13358,2015-10-20
13358,2015-10-27
13358,2015-11-07
13358,2015-11-23
13358,2015-11-27
13358,2015-11-29
13358,2015-12-16
13358,2015-12-19
13358,2015-12-26
13358,2016-01-02
13358,2016-01-17
13358,2016-01-24
13358,2016-01-28
13358,2016-01-31
13358,2016-02-26
13358,2016-03-13
13358,2016-04-09
13358,2016-04-21
13358,2016-05-04
13358,2016-05-08
13358,2016-05-13
13358,2016-05-19
13358,2016-05-29
13358,2016-06-04
13358,2016-06-06
13358,2016-06-08
13358,2016-06-28
13358,2016-06-30
13358,2016-07-02
13358,2016-07-15
13358,2016-07-16
13358,2016-07-18
13358,2016-07-25
13358,2016-07-29
13358,2016-08-04
13358,2016-08-10
13358,2016-08-13
13358,2016-08-15
13358,2016-08-21
13358,2016-08-22
13358,2016-08-24
13358,2016-08-28
13358,2016-08-30
13358,2016-09-05
13358,2016-09-09
13358,2016-09-11
13358,2016-09-13
13358,2016-09-20
13358,2016-09-24
13358,2016-09-24
13358,2016-09-28
13358,2016-10-01
13358,2016-10-03
13358,2016-10-07
13358,2016-10-09
13358,2016-10-15
13358,2016-10-22
13358,2016-10-26
13358,2016-11-03
13358,2016-11-07
13358,2016-11-10
13358,2016-11-17
13358,2016-11-27
13358,2016-12-16
13358,2016-12-24
13358,2016-12-25
13358,2016-12-31
13358,2017-01-03
13358,2017-01-14
13358,2017-01-16
13358,2017-02-07
13358,2017-02-11
13358,2017-02-13
13358,2017-02-18
13358,2017-02-23
13358,2017-03-03
13358,2017-03-26
13358,2017-04-02
13358,2017-04-09
13358,2017-04-29
13358,2017-05-04
13358,2017-05-05
